X, Y, Pressure, TiltX, TiltY, Time
396.5775,369.486666666667,0.1025390625,12672,11396,00:03.0319345
396.5775,369.613333333333,0.10791015625,12672,11396,00:03.0475454
396.5775,371.64,0.221923828125,12672,11396,00:03.0631669
396.8625,373.286666666667,0.26416015625,12672,11396,00:03.0788000
397.4325,375.313333333333,0.29296875,12672,11396,00:03.0984129
398.145,377.593333333333,0.326904296875,12672,11396,00:03.1140868
399,380.506666666667,0.367431640625,12672,11396,00:03.1140868
399.57,383.166666666667,0.39013671875,12672,11396,00:03.1296627
399.7125,384.18,0.3974609375,12672,11396,00:03.1452817
400.71,391.4,0.446533203125,12672,11396,00:03.1452817
400.71,392.793333333333,0.455078125,12672,11396,00:03.1609168
401.28,396.973333333333,0.480224609375,12672,11396,00:03.1765382
401.565,402.293333333333,0.5146484375,12672,11396,00:03.1765382
401.565,403.813333333333,0.523681640625,12672,11396,00:03.1986711
401.85,407.866666666667,0.548583984375,12700,11332,00:03.1986711
401.85,409.133333333333,0.556396484375,12714,11299,00:03.2142978
401.85,415.846666666667,0.591796875,12714,11299,00:03.2299327
401.85,421.166666666667,0.61474609375,12741,11234,00:03.2299327
401.7075,422.56,0.6201171875,12741,11234,00:03.2455546
401.565,426.866666666667,0.63623046875,12757,11194,00:03.2611653
401.4225,428.513333333333,0.64111328125,12773,11149,00:03.2611653
401.4225,431.3,0.650390625,12801,11071,00:03.2768093
401.28,438.773333333333,0.672607421875,12801,11071,00:03.2924313
401.1375,444.093333333333,0.690185546875,12826,10995,00:03.2989416
401.1375,446.753333333333,0.698486328125,12838,10957,00:03.3146063
400.995,449.54,0.706787109375,12863,10875,00:03.3146063
400.995,450.933333333333,0.710693359375,12863,10875,00:03.3303860
400.8525,458.026666666667,0.7275390625,12838,10753,00:03.3458653
400.8525,459.42,0.73046875,12788,10724,00:03.3614455
401.1375,469.68,0.7421875,12778,10534,00:03.3774416
401.1375,472.846666666667,0.7421875,12795,10456,00:03.3989835
401.7075,481.46,0.72021484375,12760,10314,00:03.3989835
401.85,482.853333333333,0.72021484375,12769,10271,00:03.4146198
402.135,490.706666666667,0.763916015625,12666,10226,00:03.4302362
402.5625,496.153333333333,0.778076171875,12688,10102,00:03.4302362
402.5625,497.546666666667,0.780029296875,12696,10058,00:03.4458660
402.8475,501.6,0.782470703125,12715,9930,00:03.4614758
403.1325,506.54,0.78662109375,12726,9852,00:03.4771077
403.4175,512.24,0.791748046875,12726,9852,00:03.4988836
403.56,516.8,0.799560546875,12736,9768,00:03.5145162
403.845,521.993333333333,0.808349609375,12756,9565,00:03.5301405
403.9875,525.92,0.810302734375,12762,9480,00:03.5457590
404.13,529.34,0.812255859375,12711,9434,00:03.5613804
404.415,533.393333333333,0.814208984375,12711,9434,00:03.5613804
404.415,534.153333333333,0.814208984375,12711,9434,00:03.5770265
404.415,536.433333333333,0.816162109375,12711,9434,00:03.5991659
404.5575,539.346666666667,0.816162109375,12711,9434,00:03.6148460
404.985,543.526666666667,0.813232421875,12719,9263,00:03.6304633
405.1275,544.16,0.81005859375,12669,9220,00:03.6304633
405.27,544.92,0.80810546875,12670,9181,00:03.6460752
405.9825,547.58,0.780029296875,12672,9063,00:03.6460752
406.2675,548.213333333333,0.76708984375,12672,9063,00:03.6618071
406.8375,550.113333333333,0.72412109375,12672,9020,00:03.6618071
406.98,550.746666666667,0.695068359375,12617,9020,00:03.6775737
407.835,552.266666666667,0.597900390625,12617,9020,00:03.6775737
407.9775,552.773333333333,0.548583984375,12617,9020,00:03.6775737
408.12,545.806666666667,0.122314453125,12338,8842,00:05.3390329
406.8375,545.68,0.124267578125,12338,8842,00:05.3545040
404.8425,545.046666666667,0.109619140625,12399,8838,00:05.3545040
404.7,544.92,0.118408203125,12399,8838,00:05.3705337
404.7,544.92,0.148681640625,12399,8838,00:05.3861979
404.985,544.666666666667,0.18798828125,12454,8835,00:05.4017440
406.5525,544.033333333333,0.226806640625,12454,8835,00:05.4077621
407.55,543.653333333333,0.248291015625,12454,8835,00:05.4235711
409.6875,543.4,0.281982421875,12513,8831,00:05.4235711
410.2575,543.4,0.289794921875,12513,8831,00:05.4390567
412.11,543.526666666667,0.313232421875,12513,8831,00:05.4390567
412.965,543.653333333333,0.32080078125,12513,8831,00:05.4546707
414.96,544.16,0.3427734375,12513,8831,00:05.4702728
417.9525,545.046666666667,0.40234375,12513,8831,00:05.4858842
421.0875,546.313333333333,0.42431640625,12513,8831,00:05.4858842
421.9425,546.693333333333,0.4326171875,12513,8831,00:05.5015058
425.0775,547.453333333333,0.45947265625,12513,8831,00:05.5080686
426.2175,547.706666666667,0.462646484375,12513,8831,00:05.5237058
432.06,548.973333333333,0.49560546875,12513,8831,00:05.5393208
437.9025,549.353333333333,0.54150390625,12513,8831,00:05.5393208
439.0425,549.353333333333,0.54833984375,12513,8831,00:05.5549469
443.8875,549.353333333333,0.567626953125,12513,8831,00:05.5705661
450.015,548.846666666667,0.5869140625,12513,8831,00:05.5861891
457.71,547.453333333333,0.62060546875,12513,8831,00:05.6083322
